silabo,frekvenco,procento
(l|e|k),11471,0.0915
(m|a|s),11116,0.0887
(k|o|j),10919,0.0871
(j|a|m),10781,0.0860
(n|a|j),10727,0.0856
(∅|e|b),10724,0.0855
(l|a|j),10711,0.0854
(d|e|k),10614,0.0847
(c|o|n),10565,0.0843
(∅|e|ĉ),10555,0.0842
(∅|o|m),10506,0.0838
(c|a),10493,0.0837
(∅|e|ŭ),10435,0.0832
(∅|u|jn),10056,0.0802
(v|e|n),10017,0.0799
(k|a|n),9794,0.0781
(r|o|jn),9792,0.0781
(t|o|s),9738,0.0777
(r|e|n),9735,0.0776
(g|u),9470,0.0755
(c|e|n),9446,0.0753
(b|u),9407,0.0750
(pl|u),9293,0.0741
(v|i|n),9244,0.0737
(d|e|n),9136,0.0729
(m|i|s),9060,0.0723
(p|u),8913,0.0711
(gr|a),8850,0.0706
(g|a|n),8662,0.0691
(m|o|r),8653,0.0690
(v|o|r),8641,0.0689
(∅|u|r),8619,0.0687
(v|a|n),8584,0.0685
(ĵ|o),8528,0.0680
(d|a|j),8527,0.0680
(kr|i),8524,0.0680
(c|e|r),8507,0.0678
(kr|e),8485,0.0677
(br|o),8322,0.0664
(l|o|jn),8213,0.0655
(d|a|ŭ),8130,0.0648
(n|o|jn),8039,0.0641
(ĵ|o|j),7889,0.0629
(c|i|s),7775,0.0620
(k|a|m),7743,0.0618
(k|e|l),7653,0.0610
(fr|a|n),7627,0.0608
(m|i|n),7531,0.0601
(g|a|r),7524,0.0600
(k|u|l),7467,0.0596
(gv|o),7447,0.0594
(s|a|n),7420,0.0592
(l|i|b),7401,0.0590
(m|a|j),7389,0.0589
(p|a|t),7215,0.0575
(m|a|r),7144,0.0570
(gr|e),7118,0.0568
# --- ĉi tiuj silaboj kune kovras 90.0379% (sojlo: 90%) ---
(t|a|jn),7099,0.0566
(t|i|n),7098,0.0566
(p|u|b),7063,0.0563
(kl|a),7030,0.0561
(z|e|n),6999,0.0558
(k|a|s),6890,0.0550
(l|e|r),6814,0.0543
(s|a|s),6725,0.0536
(r|a|ŭ),6717,0.0536
(v|u),6622,0.0528
(s|o|j),6429,0.0513
(c|o|j),6407,0.0511
(g|o|j),6302,0.0503
(pr|o|k),6285,0.0501
(c|e|p),6254,0.0499
(ŝ|a|j),6172,0.0492
(r|e|k),6155,0.0491
(ĝ|a),6119,0.0488
(ŝ|a|n),6068,0.0484
(ĝ|o|n),6051,0.0483
(h|e|l),6028,0.0481
(t|e|k),6010,0.0479
(s|o|n),5994,0.0478
(pl|a),5991,0.0478
(g|o|n),5946,0.0474
(sp|e),5936,0.0473
(h|i|s),5863,0.0468
(v|u|s),5786,0.0461
(f|e|r),5752,0.0459
(ŝt|a),5746,0.0458
(f|u|n),5680,0.0453
(kv|a),5667,0.0452
(t|u|s),5637,0.0450
(st|i),5631,0.0449
(m|o|jn),5581,0.0445
(v|a|j),5464,0.0436
(fr|a),5392,0.0430
(ĉ|a),5358,0.0427
(z|a|s),5351,0.0427
(ĝ|a|n),5344,0.0426
(j|e|n),5326,0.0425
(v|e|s),5306,0.0423
(v|o|s),5301,0.0423
(f|o|n),5200,0.0415
(∅|i|ns),5109,0.0407
(d|o|jn),5103,0.0407
(f|u),5071,0.0404
(skr|i),5069,0.0404
(j|o|n),5059,0.0403
(tr|a|n),5042,0.0402
(r|o|s),4934,0.0394
(ĝ|o|j),4929,0.0393
(n|i|n),4921,0.0392
(s|a|j),4907,0.0391
(b|o|n),4850,0.0387
(∅|o|k),4824,0.0385
(n|o|s),4810,0.0384
(p|a|s),4805,0.0383
(pl|o),4739,0.0378
(∅|i|m),4728,0.0377
(v|o|n),4704,0.0375
(z|e|m),4698,0.0375
(s|u|k),4651,0.0371
(n|e|k),4635,0.0370
(m|e|r),4628,0.0369
(pr|o|g),4581,0.0365
(∅|o|jn),4569,0.0364
(s|i|g),4499,0.0359
(t|u|r),4474,0.0357
(j|e|k),4472,0.0357
(n|a|ŭ),4440,0.0354
(tr|a|ns),4427,0.0353
(k|u|r),4424,0.0353
(t|o|p),4408,0.0352
(gr|u),4352,0.0347
(d|u|k),4322,0.0345
(st|e|r),4307,0.0344
(p|o|j),4305,0.0343
(z|o|j),4279,0.0341
(ĉ|i|r),4272,0.0341
(k|o|r),4241,0.0338
(g|e|r),4240,0.0338
(kv|a|n),4231,0.0337
(z|o|n),4172,0.0333
(br|i),4166,0.0332
(pr|e|s),4122,0.0329
(∅|o|b),4118,0.0328
(r|i|n),4114,0.0328
(ŝ|i|n),4080,0.0325
(b|o|j),4068,0.0324
(s|i|m),4068,0.0324
(p|e|k),4068,0.0324
(v|o|j),4056,0.0323
(f|a|k),4036,0.0322
(ĝ|u),4029,0.0321
(kr|e|s),3909,0.0312
(h|e),3909,0.0312
(∅|e|d),3904,0.0311
(gv|i),3890,0.0310
(∅|a|d),3857,0.0308
(sp|i),3844,0.0307
(pr|o|p),3835,0.0306
(ŝ|a),3793,0.0303
(kl|u),3761,0.0300
(t|u|j),3754,0.0299
(∅|o|f),3733,0.0298
(f|e|k),3714,0.0296
(k|o|ns),3707,0.0296
(n|o|r),3678,0.0293
(br|u),3674,0.0293
(g|a|j),3663,0.0292
(kv|a|r),3613,0.0288
(g|o|s),3594,0.0287
(k|o|s),3592,0.0286
