as,2394, 283186
is,2917, 292337
os,968, 40848
us,389, 18142
ajn,1144, 42965
ojn,2467, 83514
ujn,6, 10063
aj,3566, 176700
oj,5274, 299249
uj,6, 41410
ej,2, 13303
an,1936, 92529
on,4849, 208428
en,82, 14190
in,4, 9704
un,4, 17264
aŭ,20, 66982
eŭ,0, 0
a,6138, 345479
i,2131, 127052
e,2945, 239393
o,11170, 814822
u,759, 35438
other,293, 2777279
